日期,产品类型,规格,区域,资源ID,使用时长,费用,用量,用量单位
2026-06-27,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,3.1,19.92,22.97,小时
2026-06-27,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,3.8,32.88,20.41,小时
2026-06-27,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,13.3,12.25,22.36,小时
2026-06-27,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,5.6,6.67,2.77,小时
2026-06-27,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,13.7,62.94,22.86,小时
2026-06-27,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,5.7,294.46,417.85,GB
2026-06-27,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,0.7,299.34,461.16,GB
2026-06-27,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,7.0,3.33,0.0,Mbps
2026-06-27,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,5.6,3.33,0.0,Mbps
2026-06-28,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,2.9,22.35,21.52,小时
2026-06-28,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,8.6,11.9,21.06,小时
2026-06-28,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,13.1,6.67,4.88,小时
2026-06-28,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,9.4,6.67,2.98,小时
2026-06-28,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,15.0,57.3,23.45,小时
2026-06-28,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,17.1,31.68,20.18,小时
2026-06-28,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,7.3,32.15,20.32,小时
2026-06-28,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,9.4,280.16,390.68,GB
2026-06-28,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,9.2,3.33,0.0,Mbps
2026-06-29,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,16.2,34.79,22.81,小时
2026-06-29,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,14.8,6.67,1.27,小时
2026-06-29,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,6.3,36.6,21.85,小时
2026-06-29,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,22.2,35.24,22.75,小时
2026-06-29,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,8.1,26.3,23.07,小时
2026-06-29,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,19.4,126.65,380.23,GB
2026-06-29,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,21.1,3.33,0.0,Mbps
2026-06-29,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,7.9,3.33,0.0,Mbps
2026-06-29,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,15.9,3.33,0.0,Mbps
2026-06-30,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,21.3,16.12,22.57,小时
2026-06-30,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,3.8,30.07,22.98,小时
2026-06-30,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,14.2,6.67,4.54,小时
2026-06-30,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,9.9,6.67,1.49,小时
2026-06-30,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,23.9,6.67,2.79,小时
2026-06-30,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,18.3,32.4,23.44,小时
2026-06-30,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,19.1,127.55,384.43,GB
2026-06-30,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.5,3.33,0.0,Mbps
2026-06-30,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,11.5,3.33,0.0,Mbps
2026-07-01,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,23.3,12.12,23.44,小时
2026-07-01,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,17.4,29.67,22.73,小时
2026-07-01,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,18.6,6.67,2.03,小时
2026-07-01,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,7.4,6.67,1.21,小时
2026-07-01,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,22.9,38.97,23.5,小时
2026-07-01,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,18.4,141.82,401.54,GB
2026-07-01,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,15.2,259.36,468.33,GB
2026-07-01,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,5.2,142.72,374.78,GB
2026-07-01,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,22.1,3.33,0.0,Mbps
2026-07-01,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.6,3.33,0.0,Mbps
2026-07-01,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,12.0,3.33,0.0,Mbps
2026-07-02,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,22.3,41.08,23.51,小时
2026-07-02,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,6.1,6.67,1.58,小时
2026-07-02,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,13.8,6.67,0.85,小时
2026-07-02,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,11.9,58.84,20.28,小时
2026-07-02,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,18.5,44.88,20.51,小时
2026-07-02,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,13.4,66.99,21.06,小时
